Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778620568,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778620569,10,,Aggregated,0.000000,0.000000,120,130,140,150,560,820,820,820,820,820,820,14,0,110,189.61481622786127,36.87535400968045,823.6688789911568,13695.92857142857
1778620570,20,,Aggregated,0.000000,0.000000,110,130,130,140,800,910,910,910,910,910,910,37,0,110,190.37977904018416,8.748203981667757,906.2375950161368,13606.162162162162
1778620571,30,,Aggregated,12.000000,0.000000,100,110,120,130,160,820,910,910,910,910,910,57,0,100,147.27022398157013,8.748203981667757,906.2375950161368,13332.578947368422
1778620572,40,,Aggregated,18.500000,0.000000,93,110,120,130,150,560,910,910,910,910,910,85,0,93,124.83129704590229,8.748203981667757,906.2375950161368,13485.682352941176
1778620573,50,,Aggregated,18.666667,0.000000,81,100,110,120,140,180,820,910,910,910,910,119,0,81,108.30856045070222,8.748203981667757,906.2375950161368,13300.840336134454
1778620574,60,,Aggregated,21.000000,0.000000,78,100,110,120,140,160,820,910,910,910,910,148,0,78,102.02468141781267,8.748203981667757,906.2375950161368,13033.614864864865
1778620575,70,,Aggregated,23.200000,0.000000,76,100,110,120,140,160,560,820,910,910,910,202,0,75,93.66934189957908,8.748203981667757,906.2375950161368,12777.20297029703
1778620576,80,,Aggregated,24.166667,0.000000,71,96,110,120,130,150,560,820,910,910,910,246,0,70,88.32815512532096,8.69459705427289,906.2375950161368,12654.329268292682
1778620577,90,,Aggregated,28.000000,0.000000,64,92,110,110,130,150,180,820,910,910,910,293,0,64,84.32649779721535,8.233498083427548,906.2375950161368,12699.856655290103
1778620578,100,,Aggregated,30.125000,0.000000,61,89,100,110,130,150,160,800,910,910,910,351,3,61,80.73283598209039,6.354711018502712,906.2375950161368,12447.754985754986
