Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,50,0,130,141.3969807792455,77.22381607163697,245.3704719664529,18490.0,0.3464608043681044,0.0,130,150,160,170,220,240,250,250,250,250,250
GET,GET /,380,0,44,58.41452069396741,26.87022602185607,250.0085369683802,18490.0,2.6331021131975936,0.0,44,56,67,76,110,130,170,210,250,250,250
GET,GET /api/v1/,107,107,11,17.921136477831578,7.351156906224787,84.367880015634,74.0,0.7414261213477434,0.7414261213477434,11,15,19,28,40,44,57,59,84,84,84
GET,GET /api/v1/docs/,62,62,35,42.386204939365626,25.046593975275755,113.46016591414809,21.0,0.42961139741644944,0.42961139741644944,36,43,51,58,63,81,99,110,110,110,110
GET,GET /api/v1/outputs/,72,72,38,47.08151319937315,24.395658052526414,129.42967400886118,74.0,0.4989035582900703,0.4989035582900703,38,50,58,63,86,98,130,130,130,130,130
GET,GET /api/v1/pdfs/,74,74,42,54.03123599024036,24.483851972036064,191.3574100472033,74.0,0.5127619904647945,0.5127619904647945,44,58,67,77,96,110,160,190,190,190,190
GET,GET /compress/,27,0,96,99.89299440618467,55.100835976190865,185.5586030287668,18676.0,0.18708883435877638,0.0,96,110,120,130,140,150,190,190,190,190,190
GET,GET /flatten/,28,0,80,93.68818475299382,53.04371099919081,224.01396394707263,18676.0,0.19401805044613846,0.0,81,94,120,120,160,190,220,220,220,220,220
GET,GET /healthz,31,0,11,22.458772310206005,6.64313102606684,96.40066500287503,16.0,0.21480569870822472,0.0,11,30,33,33,37,95,96,96,96,96,96
GET,GET /metadata/,28,0,83,96.17870506813883,52.44596698321402,171.0254839854315,18676.0,0.19401805044613846,0.0,83,110,120,120,150,160,170,170,170,170,170
GET,GET /rotate/,21,0,120,121.25061562706139,56.535064009949565,240.32805196475238,18655.0,0.14551353783460386,0.0,120,130,130,180,200,210,240,240,240,240,240
GET,GET /to-images/,16,0,73,84.25377330422634,50.475387019105256,125.42403198312968,18676.0,0.11086745739779341,0.0,90,97,110,110,120,130,130,130,130,130,130
GET,GET /watermark/,24,0,93,105.15410418156534,56.56761804129928,278.10783206950873,18655.0,0.16630118609669012,0.0,95,110,120,130,160,210,280,280,280,280,280
POST,POST /api/v1/pdfs/ [medium],53,0,35,45.7960478719851,24.131824960932136,150.53600701503456,74.0,0.3672484526301907,0.0,35,49,53,55,86,94,120,150,150,150,150
POST,POST /api/v1/pdfs/ [small],155,0,36,49.21386385366561,24.33435502462089,181.59262498375028,74.0,1.0740284935411237,0.0,36,48,56,64,98,110,130,150,180,180,180
POST,POST /api/v1/pdfs/ [tiny],329,0,42,53.177055537963916,24.025831022299826,244.92775998078287,74.0,2.279712092742127,0.0,42,54,64,68,95,120,160,180,240,240,240
POST,POST /compress/,487,0,99,115.77534919329278,56.3890429912135,329.4251440092921,7892.64681724846,3.3745282345453367,0.0,99,120,140,150,200,220,280,310,330,330,330
POST,POST /flatten/,345,345,37,46.9557009195315,24.064407916739583,258.8337119668722,6158.0,2.3905795501399205,2.3905795501399205,37,48,57,65,79,94,110,130,260,260,260
POST,POST /page-numbers/,270,0,44,53.408680000359674,25.890003889799118,170.3157260781154,12543.144444444444,1.8708883435877637,0.0,44,57,64,72,89,110,140,150,170,170,170
POST,POST /rotate/,407,0,110,116.54046693123438,57.98067897558212,328.7566869985312,6738.756756756757,2.82019094755637,0.0,110,130,140,150,170,210,240,250,330,330,330
POST,POST /to-images/,41,41,34,42.6327607355921,25.475046946667135,116.31207598838955,6160.0,0.28409785958184564,0.28409785958184564,34,49,56,59,66,71,120,120,120,120,120
POST,POST /upload/ [medium],207,0,140,149.88341122013088,86.84878400526941,362.6891180174425,39753.342995169085,1.4343477300839522,0.0,140,170,180,190,220,240,270,300,360,360,360
POST,POST /upload/ [small],571,0,130,142.60685439535536,83.88678904157132,314.6511259255931,36784.884413309985,3.956582385883752,0.0,130,160,170,180,210,240,260,280,310,310,310
POST,POST /upload/ [tiny],328,0,140,149.25966664925843,83.62050005234778,346.31535096559674,31351.875,2.272782876654765,0.0,140,160,180,190,230,240,280,310,350,350,350
POST,POST /watermark/,375,0,45,52.64894356702765,26.22962894383818,164.55458290874958,16281.109333333334,2.598456032760783,0.0,45,57,65,69,87,100,130,140,160,160,160
,Aggregated,4488,701,78,89.39767046027431,6.64313102606684,362.6891180174425,15301.116532976826,31.098321800081052,4.857380477240824,78,110,120,130,170,200,240,260,330,360,360
